= Targets sorted by number of PDB structures with matching expression system tag =

            target  nmatching_PDB_structures  top_PDB_chain_ID  detected_expression_tag  authenticity_score               expression_system  target_rank  target_score
            ______  ________________________  ________________  _______________________  __________________               _________________  ___________  ______________
     MK14_HUMAN_D0                       188            3K3J_A        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI           14          61.3
     CDK2_HUMAN_D0                       162            4BCP_A        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI           26          53.7
    AURKA_HUMAN_D0                        55            2NP8_A        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI           44          47.9
     MK01_HUMAN_D0                        32            4FMQ_A        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI           16          59.0
    DAPK1_HUMAN_D0                        31            4B4L_A        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI          179          33.0
    MAPK2_HUMAN_D0                        20            2JBO_A        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI           74          41.8
     PAK4_HUMAN_D0                        13            2J0I_A        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI          161          33.9
     ABL1_HUMAN_D0                         6            3UE4_A        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI           12          62.3
     BRAF_HUMAN_D0                         4            4JVG_D        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI            4          75.1
     MST4_HUMAN_D0                         4            4FZD_B        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI          307          29.7
    MKNK2_HUMAN_D0                         3            2AC3_A        TEV_cleaved_Nterm                  10           ESCHERICHIA COLI BL21          246          30.9
     KC1D_HUMAN_D0                         2            4HNF_B        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI           92          39.1
     KC1E_HUMAN_D0                         2            4HNI_A        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI          183          32.6
     MK07_HUMAN_D0                         2            4IC7_D        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI          182          32.7
     STK3_HUMAN_D0                         2            4LG4_B        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI          216          31.5
    AAPK2_HUMAN_D0                         1            2H6D_A        TEV_cleaved_Nterm                  10           ESCHERICHIA COLI BL21          200          32.1
     FAK1_HUMAN_D0                         1            2IJM_B        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI           31          51.7
    MKNK1_HUMAN_D0                         1            2HW6_B        TEV_cleaved_Nterm                  10                ESCHERICHIA COLI          214          31.6
     PIM1_HUMAN_D0                        78            4A7C_A      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI           76          41.4
      TTK_HUMAN_D0                        12            3H9F_A      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          156          34.3
    STK24_HUMAN_D0                         8            3ZHP_C      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          267          30.4
     HASP_HUMAN_D0                         7            3E7V_A      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          370          21.5
     CLK3_HUMAN_D0                         5            2WU7_A      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          227          31.4
    DAPK3_HUMAN_D0                         4            2J90_A      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          195          32.1
    MAPK3_HUMAN_D0                         4            3FXW_A      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          371          20.3
      SLK_HUMAN_D0                         4            2JFL_A      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          210          31.7
    DYRK2_HUMAN_D0                         3            3KVW_A      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          248          30.8
     PAK6_HUMAN_D0                         3            2C30_A      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          283          30.1
    KCC2A_HUMAN_D0                         2            2VZ6_B      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          376          17.3
    ST17B_HUMAN_D0                         2            3LM0_A      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          281          30.2
     KCC4_HUMAN_D0                         1            2W4O_A      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          230          31.4
    CDKL1_HUMAN_D0                         1            4AGU_C      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          360          27.2
    KCC2G_HUMAN_D0                         1            2V7O_A      TEV_uncleaved_Nterm                   9                ESCHERICHIA COLI          222          31.4
